Text: 1, Size: 14.0, Font: Arial-Black
Text: What is Grammar?	, Size: 12.0, Font: VAGRounded-Bold
Text: 5, Size: 12.0, Font: VAGRounded-Bold
Text: 2, Size: 14.0, Font: Arial-Black
Text: The Capital Letter	, Size: 12.0, Font: VAGRounded-Bold
Text: 6, Size: 12.0, Font: VAGRounded-Bold
Text: 3, Size: 14.0, Font: Arial-Black
Text: Nouns	, Size: 12.0, Font: VAGRounded-Bold
Text: 	8, Size: 12.0, Font: VAGRounded-Bold
Text: Common Nouns	, Size: 12.0, Font: VAGRounded-Light
Text: 8	, Size: 12.0, Font: VAGRounded-Light
Text: Proper Nouns	, Size: 12.0, Font: VAGRounded-Light
Text: 13, Size: 12.0, Font: VAGRounded-Light
Text: Singular Nouns	, Size: 12.0, Font: VAGRounded-Light
Text: 21, Size: 12.0, Font: VAGRounded-Light
Text: Plural Nouns	, Size: 12.0, Font: VAGRounded-Light
Text: 23, Size: 12.0, Font: VAGRounded-Light
Text: Collective Nouns	, Size: 12.0, Font: VAGRounded-Light
Text: 34, Size: 12.0, Font: VAGRounded-Light
Text: Masculine and Feminine Nouns	 37, Size: 12.0, Font: VAGRounded-Light
Text: 4, Size: 14.0, Font: Arial-Black
Text: Pronouns	, Size: 12.0, Font: VAGRounded-Bold
Text: 44, Size: 12.0, Font: VAGRounded-Bold
Text: Personal Pronouns	, Size: 12.0, Font: VAGRounded-Light
Text: 44	, Size: 12.0, Font: VAGRounded-Light
Text: Reflexive Pronouns	, Size: 12.0, Font: VAGRounded-Light
Text: 47, Size: 12.0, Font: VAGRounded-Light
Text: Interrogative Pronouns	, Size: 12.0, Font: VAGRounded-Light
Text: 48, Size: 12.0, Font: VAGRounded-Light
Text: Demonstrative Pronouns	, Size: 12.0, Font: VAGRounded-Light
Text: 49, Size: 12.0, Font: VAGRounded-Light
Text: 5, Size: 14.0, Font: Arial-Black
Text: Adjectives	, Size: 12.0, Font: VAGRounded-Bold
Text: 52, Size: 12.0, Font: VAGRounded-Bold
Text: Adjective Endings	, Size: 12.0, Font: VAGRounded-Light
Text: 54, Size: 12.0, Font: VAGRounded-Light
Text: Kinds of Adjectives	, Size: 12.0, Font: VAGRounded-Light
Text: 58, Size: 12.0, Font: VAGRounded-Light
Text: Comparison of Adjectives	, Size: 12.0, Font: VAGRounded-Light
Text: 65, Size: 12.0, Font: VAGRounded-Light
Text: 6, Size: 14.0, Font: Arial-Black
Text: Determiners	, Size: 12.0, Font: VAGRounded-Bold
Text: 71, Size: 12.0, Font: VAGRounded-Bold
Text: The Articles	, Size: 12.0, Font: VAGRounded-Light
Text: 71	, Size: 12.0, Font: VAGRounded-Light
Text: Demonstrative Determiners	, Size: 12.0, Font: VAGRounded-Light
Text: 73, Size: 12.0, Font: VAGRounded-Light
Text: Interrogative Determiners	, Size: 12.0, Font: VAGRounded-Light
Text: 74, Size: 12.0, Font: VAGRounded-Light
Text: Possessive Determiners	, Size: 12.0, Font: VAGRounded-Light
Text: 75, Size: 12.0, Font: VAGRounded-Light
Text: 13, Size: 14.0, Font: Arial-Black
Text:  , Size: 12.0, Font: VAGRounded-Bold
Text: Sentences	, Size: 12.0, Font: VAGRounded-Bold
Text: 139, Size: 12.0, Font: VAGRounded-Bold
Text: What is a Sentence?	, Size: 12.0, Font: VAGRounded-Light
Text: 139, Size: 12.0, Font: VAGRounded-Light
Text: Kinds of Sentences	, Size: 12.0, Font: VAGRounded-Light
Text: 140, Size: 12.0, Font: VAGRounded-Light
Text: The Imperative	, Size: 12.0, Font: VAGRounded-Light
Text: 141, Size: 12.0, Font: VAGRounded-Light
Text: The Subject and the Object	, Size: 12.0, Font: VAGRounded-Light
Text: 143, Size: 12.0, Font: VAGRounded-Light
Text: Direct and Indirect Objects	, Size: 12.0, Font: VAGRounded-Light
Text: 144, Size: 12.0, Font: VAGRounded-Light
Text: Positive and Negative Sentences	146, Size: 12.0, Font: VAGRounded-Light
Text: Questions	, Size: 12.0, Font: VAGRounded-Light
Text: 147, Size: 12.0, Font: VAGRounded-Light
Text: 8, Size: 14.0, Font: Arial-Black
Text: Subject-Verb Agreement	, Size: 12.0, Font: VAGRounded-Bold
Text: 123, Size: 12.0, Font: VAGRounded-Bold
Text: 9, Size: 14.0, Font: Arial-Black
Text: Adverbs	, Size: 12.0, Font: VAGRounded-Bold
Text: 127, Size: 12.0, Font: VAGRounded-Bold
Text: 10, Size: 14.0, Font: Arial-Black
Text:  , Size: 12.0, Font: VAGRounded-Bold
Text: Prepositions	, Size: 12.0, Font: VAGRounded-Bold
Text: 132, Size: 12.0, Font: VAGRounded-Bold
Text: 11, Size: 14.0, Font: Arial-Black
Text:  , Size: 12.0, Font: VAGRounded-Bold
Text: Conjunctions	, Size: 12.0, Font: VAGRounded-Bold
Text: 135, Size: 12.0, Font: VAGRounded-Bold
Text: 12, Size: 14.0, Font: Arial-Black
Text:  , Size: 12.0, Font: VAGRounded-Bold
Text: Interjections	, Size: 12.0, Font: VAGRounded-Bold
Text: 138, Size: 12.0, Font: VAGRounded-Bold
Text: 14, Size: 14.0, Font: Arial-Black
